Finnish;English
nainen;woman
mies;man
muunsukupuolinen;non-binary
transsukupuolinen;transgender
tyttö;girl, daughter
poika;boy, son
lapsi;child
lasta;child (partitive)
Minulla on kaksi lasta.;I have two children.
tyttöystävä;girlfriend
poikaystävä;boyfriend
kumppani;partner
kihlattu;fiancé (female or male)
avopuoliso;live-in partner
(avio)puoliso;spouse
vaimo;wife
(avio)mies;husband
Mä olen sinkku.;I'm single.
Mä seurustelen.;I'm dating (someone)., I'm in a relationship.
Mä olen kihloissa.;I'm engaged.
Mä olen naimisissa.;I'm married.
eno;uncle (mother's brother)
setä;uncle (father's brother)
täti;aunt
sisko;sister
isosisko;big sister 
pikkusisko;little sister
veli;brother
isoveli;big brother
pikkuveli;younger brother
sisarus;sibling
äitipuoli;stepmother
isäpuoli;stepfather
appi;father-in-law
anoppi;mother-in-law
isotäti;great aunt
isosetä;great-uncle (father's brother)
isoeno;great-uncle (mother's brother)
serkku;cousin
äiti;mother
isä;father
isoisä (pappa, vaari, ukki);grandfather
isoäiti (mummo, mummu, mummi);grandmother
isovanhemmat;grandparents
vanhemmat;parents
