Finnish;Finnish (Adessive);hungarian
kala;kalalla;hal
talo;talolla;ház
työ;työllä;munka
radio;radiolla;rádió
huone;huoneella;szoba
kappale;kappaleella;bekezdés
lentokone;lentokoneella;repülőgép
parveke;parvekkeella;erkély
banaani;banaanilla;banán
kahvi;kahvilla;kávé
posti;postilla;postai
tili;tilillä;fiókot
ovi;ovella;ajtó
suomi;suomella;Finnország
pilvi;pilvellä;felhő
lehti;lehdellä;Magazin
joki;joella;folyó
uusi;uudella;új
käsi;kädellä;kéz
vesi;vedellä;víz
nainen;naisella;nő
suomalainen;suomalaisella;Finn
iloinen;iloisella;vidám
sininen;sinisellä;kék
rakas;rakkaalla;Szerelem
taivas;taivaalla;ég
opas;oppaalla;útmutató
kallis;kalliilla;drága
kaunis;kauniilla;gyönyörű
kauris;kauriilla;Bak
ruis;rukiilla;rozs
ostos;ostoksella;Vásárlás
piirros;piiroksella;rajz
annos;annoksella;dózis
mahdollisuus;mahdollisuudella;lehetőség
rakkaus;rakkaudella;szerelem
ystävyys;ystävyydellä;barátság
pimeys;pimeydellä;sötétség
työtön;työttömällä;munkanélküli
rahaton;rahattomalla;nincstelen
maidoton;maidottomalla;tejmentes
puhelin;puhelimella;telefon
avain;avaimella;kulcs
puhallin;puhaltimella;ventilátor
kevyt;kevyellä;fény
olut;oluella;sör
ohut;ohuella;vékony
tytär;tyttärellä;lánya
herttuatar;herttuattarella;hercegnő
Jonathan;Jonathanilla;Jonathan
William;Williamilla;Vilmos
Marian;Marianilla;Marian
Mohamed;Mohamedilla;Mohamed
tyttö;tytöllä;lány
puku;puvulla;öltöny
hattu;hatulla;kalap
silta;sillalla;híd
hiekka;hiekalla;homok
savuke;savukkeella;cigaretta
keitin;keittimellä;tűzhely
soitin;soittimella;hangszer
allas;altaalla;kád
tyyny;tyynyllä;párna
seinä;seinällä;fal
melu;melulla;zaj
puu;puulla;faipari
perhe;perheellä;család
kirje;kirjeellä;levél
taide;taiteella;Művészet
koe;kokeella;teszt
paperi;paperilla;papír
pankki;pankilla;bank
maali;maalilla;festék
adverbi;adverbilla;határozószó
suuri;suurella;nagy
pieni;pienellä;kicsi
veri;verellä;vér
huuli;huulella;ajak
lohi;lohella;lazac
vuosi;vuodella;év
kuukausi;kuukaudella;hónap
reisi;reidellä;comb
hevonen;hevosella;ló
eteinen;eteisellä;folyosó
ihminen;ihmisellä;Férfi
toinen;toisella;második
rikas;rikkaalla;gazdag
lipas;lippaalla;magazin
itsekäs;itsekkäällä;önző
roskis;roskiksella;szemét
kirppis;kirppiksellä;bolha
fiilis;fiiliksellä;vibrafon
futis;futiksella;futball
jäljennös;jäljennöksellä;másolat
käännös;käännöksellä;fordítás
luonnos;luonnoksella;tervezet
vastaus;vastauksella;válasz
kysymys;kysymyksellä;kérdés
keskus;keskuksella;központi
tarjous;tarjouksella;ajánlat
koditon;kodittomalla;hajléktalan
rasvaton;rasvattomalla;nem zsíros
alkoholiton;alkoholittomalla;alkoholmentes
kiharrin;kihartimella;sütővas
suoritin;suorittimella;processzor
väsynyt;väsyneellä;fáradt
ollut;olleella;volt
mennyt;menneellä;elmúlt
kuningatar;kuningattarella;királynő
jumalatar;jumalattarella;istennő
Facebook;Facebookilla;Facebook
Windows;Windowsilla;ablakok
Steam;Steamilla;Gőz
McDonalds;McDonaldsilla;Mcdonald's
pöytä;pöydällä;asztal
kauppa;kaupalla;kereskedelmi
kampa;kammalla;fésű
apu;avulla;Segítség
tavoite;tavoitteella;cél
hammas;hampaalla;fog
