Finnish;Finnish (Allative);hungarian
kala;kalalle;hal
talo;talolle;ház
työ;työlle;munka
vaikea;vaikealle;nehéz
huone;huoneelle;szoba
kappale;kappaleelle;bekezdés
lentokone;lentokoneelle;repülőgép
parveke;parvekkeelle;erkély
banaani;banaanille;banán
kahvi;kahville;kávé
posti;postille;postai
tili;tilille;fiókot
ovi;ovelle;ajtó
suomi;suomelle;Finnország
pilvi;pilvelle;felhő
lehti;lehdelle;magazin
joki;joelle;folyó
uusi;uudelle;új
käsi;kädelle;kéz
vesi;vedelle;víz
nainen;naiselle;nő
suomalainen;suomalaiselle;Finn
iloinen;iloiselle;vidám
sininen;siniselle;kék
rakas;rakkaalle;Szerelem
taivas;taivaalle;ég
opas;oppaalle;útmutató
kallis;kalliille;drága
kaunis;kauniille;gyönyörű
kauris;kauriille;Bak
ruis;rukiille;rozs
ostos;ostokselle;Vásárlás
piirros;piirokselle;rajz
annos;annokselle;dózis
mahdollisuus;mahdollisuudelle;lehetőség
rakkaus;rakkaudelle;szerelem
ystävyys;ystävyydelle;barátság
pimeys;pimeydelle;sötétség
työtön;työttömälle;munkanélküli
rahaton;rahattomalle;nincstelen
maidoton;maidottomalle;tejmentes
puhelin;puhelimelle;telefon
avain;avaimelle;kulcs
puhallin;puhaltimelle;ventilátor
kevyt;kevyelle;fény
olut;oluelle;sör
ohut;ohuelle;vékony
tytär;tyttärelle;lánya
herttuatar;herttuattarelle;hercegnő
Jonathan;Jonathanille;Jonathan
William;Williamille;Vilmos
Marian;Marianille;Marian
Mohamed;Mohamedille;Mohamed
tyttö;tytölle;lány
puku;puvulle;öltöny
hattu;hatulle;kalap
silta;sillalle;híd
hiekka;hiekalle;homok
savuke;savukkeelle;cigaretta
keitin;keittimelle;tűzhely
soitin;soittimelle;hangszer
allas;altaalle;kád
tyyny;tyynylle;párna
seinä;seinälle;fal
melu;melulle;zaj
radio;radiolle;rádió
perhe;perheelle;család
kirje;kirjeelle;levél
taide;taiteelle;Művészet
koe;kokeelle;teszt
paperi;paperille;papír
pankki;pankille;bank
maali;maalille;festék
adverbi;adverbille;határozószó
suuri;suurelle;nagy
pieni;pienelle;kicsi
veri;verelle;vér
huuli;huulelle;ajak
lohi;lohelle;lazac
vuosi;vuodelle;év
kuukausi;kuukaudelle;hónap
reisi;reidelle;comb
hevonen;hevoselle;ló
eteinen;eteiselle;folyosó
ihminen;ihmiselle;Férfi
toinen;toiselle;második
rikas;rikkaalle;gazdag
lipas;lippaalle;Magazin
itsekäs;itsekkäälle;önző
roskis;roskikselle;szemét
kirppis;kirppikselle;bolha
fiilis;fiilikselle;vibrafon
futis;futikselle;futball
jäljennös;jäljennökselle;másolat
käännös;käännökselle;fordítás
luonnos;luonnokselle;tervezet
vastaus;vastaukselle;válasz
kysymys;kysymykselle;kérdés
keskus;keskukselle;központi
tarjous;tarjoukselle;ajánlat
koditon;kodittomalle;hajléktalan
rasvaton;rasvattomalle;nem zsíros
alkoholiton;alkoholittomalle;alkoholmentes
kiharrin;kihartimelle;sütővas
suoritin;suorittimelle;processzor
väsynyt;väsyneelle;fáradt
ollut;olleelle;volt
mennyt;menneelle;elmúlt
kuningatar;kuningattarelle;királynő
jumalatar;jumalattarelle;istennő
Facebook;Facebookille;Facebook
Windows;Windowsille;ablakok
Steam;Steamille;Gőz
McDonalds;McDonaldsille;Mcdonald's
pöytä;pöydälle;asztal
kauppa;kaupalle;kereskedelmi
kampa;kammalle;fésű
apu;avulle;Segítség
tavoite;tavoitteelle;cél
hammas;hampaalle;fog
