Finnish;Finnish (insessive);hungarian
kala;kalassa;hal
talo;talossa;ház
työ;työssä;munka
radio;radiossa;rádió
huone;huoneessa;szoba
kappale;kappaleessa;bekezdés
lentokone;lentokoneessa;repülőgép
parveke;parvekkeessa;erkély
banaani;banaanissa;banán
kahvi;kahvissa;kávé
posti;postissa;postai
tili;tilissä;fiókot
ovi;ovessa;ajtó
suomi;suomessa;Finnország
pilvi;pilvessä;felhő
lehti;lehdessä;Magazin
joki;joessa;folyó
uusi;uudessa;új
käsi;kädessä;kéz
vesi;vedessä;víz
nainen;naisessa;nő
suomalainen;suomalaisessa;Finn
iloinen;iloisessa;vidám
sininen;sinisessä;kék
rakas;rakkaassa;Szerelem
taivas;taivaassa;ég
opas;oppaassa;útmutató
kallis;kalliissa;drága
kaunis;kauniissa;gyönyörű
kauris;kauriissa;Bak
ruis;rukiissa;rozs
ostos;ostoksessa;Vásárlás
piirros;piiroksessa;rajz
annos;annoksessa;dózis
mahdollisuus;mahdollisuudessa;lehetőség
rakkaus;rakkaudessa;szerelem
ystävyys;ystävyydessä;barátság
pimeys;pimeydessä;sötétség
työtön;työttömässä;munkanélküli
rahaton;rahattomassa;nincstelen
maidoton;maidottomassa;tejmentes
puhelin;puhelimessa;telefon
avain;avaimessa;kulcs
puhallin;puhaltimessa;ventilátor
kevyt;kevyessä;fény
olut;oluessa;sör
ohut;ohuessa;vékony
tytär;tyttäressä;lánya
herttuatar;herttuattaressa;hercegnő
Jonathan;Jonathanissa;Jonathan
William;Williamissa;Vilmos
Marian;Marianissa;Marian
Mohamed;Mohamedissa;Mohamed
tyttö;tytössä;lány
puku;puvussa;öltöny
hattu;hatussa;kalap
silta;sillassa;híd
hiekka;hiekassa;homok
savuke;savukkeessa;cigaretta
keitin;keittimessä;tűzhely
soitin;soittimessa;hangszer
allas;altaassa;kád
tyyny;tyynyssä;párna
seinä;seinässä;fal
melu;melussa;zaj
puu;puussa;faipari
perhe;perheessä;család
kirje;kirjeessä;levél
taide;taiteessa;Művészet
koe;kokeessa;teszt
paperi;paperissa;papír
pankki;pankissa;bank
maali;maalissa;festék
adverbi;adverbissa;határozószó
suuri;suuressa;nagy
pieni;pienessä;kicsi
veri;veressä;vér
huuli;huulessa;ajak
lohi;lohessa;lazac
vuosi;vuodessa;év
kuukausi;kuukaudessa;hónap
reisi;reidessä;comb
hevonen;hevosessa;ló
eteinen;eteisessä;folyosó
ihminen;ihmisessä;Férfi
toinen;toisessa;második
rikas;rikkaassa;gazdag
lipas;lippaassa;magazin
itsekäs;itsekkäässä;önző
roskis;roskiksessa;szemét
kirppis;kirppiksessä;bolha
fiilis;fiiliksessä;vibrafon
futis;futiksessa;futball
jäljennös;jäljennöksessä;másolat
käännös;käännöksessä;fordítás
luonnos;luonnoksessa;tervezet
vastaus;vastauksessa;válasz
kysymys;kysymyksessä;kérdés
keskus;keskuksessa;központi
tarjous;tarjouksessa;ajánlat
koditon;kodittomassa;hajléktalan
rasvaton;rasvattomassa;nem zsíros
alkoholiton;alkoholittomassa;alkoholmentes
kiharrin;kihartimessa;sütővas
suoritin;suorittimessa;processzor
väsynyt;väsyneessä;fáradt
ollut;olleessa;volt
mennyt;menneessä;elmúlt
kuningatar;kuningattaressa;királynő
jumalatar;jumalattaressa;istennő
Facebook;Facebookissa;Facebook
Windows;Windowsissa;ablakok
Steam;Steamissa;Gőz
McDonalds;McDonaldsissa;Mcdonald's
pöytä;pöydässä;asztal
kauppa;kaupassa;kereskedelmi
kampa;kammassa;fésű
apu;avussa;Segítség
tavoite;tavoitteessa;cél
hammas;hampaassa;fog
