Finnish;Finnish (T-plural)
kala;kalat
talo;talot
seinä;seinät
melu;melut
televisio;televisiot
huone;huoneet
kappale;kappaleet
kirje;kirjeet
aste;asteet
taide;taiteet
parveke;parvekkeet
banaani;banaanit
kahvi;kahvit
pankki;pankit
maali;maalit
tili;tilit
kioski;kioskit
ovi;ovet
kivi;kivet
pilvi;pilvet
lehti;lehdet
joki;joet
uusi;uudet
käsi;kädet
kuukausi;kuukaudet
reisi;reidet
nainen;naiset
suomalainen;suomalaiset
eteinen;eteiset
ihminen;ihmiset
sininen;siniset
lautanen;lautaset
rakas;rakkaat
taivas;taivaat
opas;oppaat
kallis;kalliit
kaunis;kauniit
kauris;kauriit
ruis;rukiit
ostos;ostokset
piirros;piirokset
annos;annokset
mahdollisuus;mahdollisuudet
rakkaus;rakkaudet
ystävyys;ystävyydet
pimeys;pimeydet
työtön;työttömät
rahaton;rahattomat
maidoton;maidottomat
puhelin;puhelimet
avain;avaimet
puhallin;puhaltimet
kevyt;kevyet
olut;oluet
ohut;ohuet
tytär;tyttäret
herttuatar;herttuattaret
tyttö;tytöt
puku;puvut
hattu;hatut
silta;sillat
hiekka;hiekat
savuke;savukkeet
keitin;keittimet
rakas;rakkaat
soitin;soittimet
allas;altaat
tyyny;tyynyt
taulu;taulut
työ;työt
kissa;kissat
puu;puut
perhe;perheet
herne;herneet
lentokone;lentokoneet
ohje;ohjeet
tietokone;tietokoneet
koe;kokeet
paperi;paperit
dollari;dollarit
posti;postit
tuoli;tuolit
adverbi;adverbit
kuppi;kupit
suuri;suuret
pieni;pienet
veri;veret
huuli;huulet
lohi;lohet
vuosi;vuodet
liesi;liedet
vesi;vedet
täysi;täydet
hevonen;hevoset
tavallinen;tavalliset
iloinen;iloiset
vihainen;vihaiset
toinen;toiset
poikanen;poikaset
rikas;rikkaat
lipas;lippaat
itsekäs;itsekkäät
roskis;roskikset
kirppis;kirppikset
fiilis;fiilikset
futis;futikset
jäljennös;jäljennökset
käännös;käännökset
luonnos;luonnokset
vastaus;vastaukset
kysymys;kysymykset
keskus;keskukset
tarjous;tarjoukset
koditon;kodittomat
rasvaton;rasvattomat
alkoholiton;alkoholittomat
keitin;keittimet
kiharrin;kihartimet
suoritin;suorittimet
väsynyt;väsyneet
ollut;olleet
mennyt;menneet
kuningatar;kuningattaret
jumalatar;jumalattaret
pankki;pankit
pöytä;pöydät
kauppa;kaupat
kampa;kammat
apu;avut
opas;oppaat
tavoite;tavoitteet
hammas;hampaat
puhallin;puhaltimet
työtön;työttömät
