Finnish (negative imperfekti);Finnish
(minä) en nukkunut;(minä) nukkua
(sinä) et nukkunut;(sinä) nukkua
(hän) ei nukkunut;(hän) nukkua
(me) emme nukkuneet;(me) nukkua
(te) ette nukkuneet;(te) nukkua
(he) eivät nukkuneet;(he) nukkua
(minä) en juonut;(minä) juoda
(sinä) et juonut;(sinä) juoda
(hän) ei juonut;(hän) juoda
(me) emme juoneet;(me) juoda
(te) ette juoneet;(te) juoda
(he) eivät juoneet;(he) juoda
(minä) en leiponut;(minä) leipoa
(sinä) et leiponut;(sinä) leipoa
(hän) ei leiponut;(hän) leipoa
(me) emme leiponeet;(me) leipoa
(te) ette leiponeet;(te) leipoa
(he) eivät leiponeet;(he) leipoa
(minä) en myynyt;(minä) myydä
(sinä) et myynyt;(sinä) myydä
(hän) ei myynyt;(hän) myydä
(me) emme myyneet;(me) myydä
(te) ette myyneet;(te) myydä
(he) eivät myyneet;(he) myydä
(minä) en opiskellut;(minä) opiskella
(sinä) et opiskellut;(sinä) opiskella
(hän) ei opiskellut;(hän) opiskella
(me) emme opiskelleet;(me) opiskella
(te) ette opiskelleet;(te) opiskella
(he) eivät opiskelleet;(he) opiskella
(minä) en noussut;(minä) nousta
(sinä) et noussut;(sinä) nousta
(hän) ei noussut;(hän) nousta
(me) emme nousseet;(me) nousta
(te) ette nousseet;(te) nousta
(he) eivät nousseet;(he) nousta
(minä) en mennyt;(minä) mennä
(sinä) et mennyt;(sinä) mennä
(hän) ei mennyt;(hän) mennä
(me) emme menneet;(me) mennä
(te) ette menneet;(te) mennä
(he) eivät menneet;(he) mennä
(minä) en purrut;(minä) purra
(sinä) et purrut;(sinä) purra
(hän) ei purrut;(hän) purra
(me) emme purreet;(me) purra
(te) ette purreet;(te) purra
(he) eivät purreet;(he) purra
(minä) en tavannut;(minä) tavata
(sinä) et tavannut;(sinä) tavata
(hän) ei tavannut;(hän) tavata
(me) emme tavanneet;(me) tavata
(te) ette tavanneet;(te) tavata
(he) eivät tavanneet;(he) tavata
(minä) en pelännyt;(minä) pelätä
(sinä) et pelännyt;(sinä) pelätä
(hän) ei pelännyt;(hän) pelätä
(me) emme pelänneet;(me) pelätä
(te) ette pelänneet;(te) pelätä
(he) eivät pelänneet;(he) pelätä
(minä) en tarvinnut;(minä) tarvita
(sinä) et tarvinnut;(sinä) tarvita
(hän) ei tarvinnut;(hän) tarvita
(me) emme tarvinneet;(me) tarvita
(te) ette tarvinneet;(te) tarvita
(he) eivät tarvinneet;(he) tarvita
(minä) en vanhennut;(minä) vanheta
(sinä) et vanhennut;(sinä) vanheta
(hän) ei vanhennut;(hän) vanheta
(me) emme vanhenneet;(me) vanheta
(te) ette vanhenneet;(te) vanheta
(he) eivät vanhenneet;(he) vanheta
(minä) en tiennyt;(minä) tietää
(sinä) et tiennyt;(sinä) tietää
(hän) ei tiennyt;(hän) tietää
(me) emme tienneet;(me) tietää
(te) ette tienneet;(te) tietää
(he) eivät tienneet;(he) tietää
