Finnish;Finnish (partitiivi)
minä;minua
sinä;sinua
hän;häntä
me;meitä
te;teitä
he;heitä
kuka;ketä
kala;kalaa
talo;taloa
loma;lomaa
melu;melua
helppo;helppoa
tyyny;tyynyä
seinä;seinää
hylly;hyllyä
sänky;sänkyä
homma;hommaa
sampoo;sampoota
elokuu;elokuuta
essee;esseetä
filee;fileetä
vapaa;vapaata
toffee;toffeeta
maa;maata
syy;syytä
puu;puuta
tie;tietä
työ;työtä
yö;yötä
vaikea;vaikeaa
pimeä;pimeää
nopea;nopeaa
tärkeä;tärkeää
haalea;haaleaa
allergia;allergiaa
arabia;arabiaa
italia;italiaa
asia;asiaa
fobia;fobiaa
valtio;valtiota
kallio;kalliota
radio;radiota
video;videota
selfie;selfietä
banaani;banaania
kahvi;kahvia
posti;postia
tili;tiliä
paperi;paperia
pankki;pankkia
maali;maalia
adverbi;adverbia
suomi;suomea
järvi;järveä
sormi;sormea
lahti;lahtea
ovi;ovea
kivi;kiveä
nimi;nimeä
lehti;lehteä
uusi;uutta
käsi;kättä
vesi;vettä
vuosi;vuotta
kuukausi;kuukautta
reisi;reittä
pieni;pientä
sieni;sientä
nuori;nuorta
kieli;kieltä
meri;merta
suuri;suurta
hiiri;hiirtä
tuli;tulta
huone;huonetta
kappale;kappaletta
lentokone;lentokonetta
parveke;parveketta
perhe;perhettä
kirje;kirjettä
taide;taidetta
koe;koetta
nainen;naista
suomalainen;suomalaista
iloinen;iloista
sininen;sinistä
hevonen;hevosta
eteinen;eteistä
ihminen;ihmistä
toinen;toista
mies;miestä
askel;askelta
keskus;keskusta
hius;hiusta
rikas;rikasta
lyhyt;lyhyttä
rakkaus;rakkautta
ystävyys;ystävyyttä
pimeys;pimeyttä
mahdollisuus;mahdollisuutta
tarjous;tarjousta
opetus;opetusta
kysymys;kysymystä
vastaus;vastausta
Jonathan;Jonathania
William;Williamia
Marian;Mariania
Mohamed;Mohamedia
Facebook;Facebookia
Windows;Windowsia
Steam;Steamia
McDonalds;McDonaldsia
tyttö;tyttöä
puku;pukua
hattu;hattua
silta;siltaa
hiekka;hiekkaa
pöytä;pöytää
kauppa;kauppaa
kampa;kampaa
apu;apua
puhallin;puhallinta
soitin;soitinta
keitin;keitintä
rakas;rakasta
allas;allasta
tavoite;tavoitetta
savuke;savuketta
opas;opasta
hammas;hammasta
