Finnish;english
Mitä seuraavat tunteet tarkoittavat?;What do the following feelings mean?
ilo;pleasure
pelko;fear
inho;disgust
häpeä;shame
suru;grief
viha;anger
hämmästys;astonishment
Millaisia tunteita liittyy seuraaviin sanoihin?;What kind of emotions do you have in the following words?
mustasukkaisuus;jealousy
innostus;enthusiasm for
rakkaus;love
kateus;envy
jännitys;tension
tyytyväisyys;satisfaction
syyllisyys;guilt
ahdistus;constriction
onnellisuus;happiness
vahingonilo;glee
Onko sinulle tapahtumassa jotain jännittävää?;Is there something exciting for you?
Mikä on sinun rakkain muisto?;What is your dearest memory?
Kerro siitä.;Tell me about it.
Millaiset asiat hermostuttavat sinuo?;What kind of things are you nervous about you?
Kiroiletko sinä, kun suutut?;Do you curse when you get angry?
Onko jokin elokuva saanut sinut itkemään?;Has a movie made you cry?
Saako mies itkeä?;Can a man cry?
Perustele.;Justify.
Voivatko tunteet aiheuttaa ongelmia?;Can emotions cause problems?
Pohtikaa yhdessä.;Think together.
Kumpi on vahvempi tunne: rakkaus vai viha?;Which one is a stronger feeling: love or anger?
Voivatko tunteet olla vääriä?;Can emotions be wrong?
Millaisissa tilanteissa tunteet nousevat pintaan?;In what situations do emotions come to the surface?
Voiko tunteita hallita?;Can I control emotions?
Milloin on hyvä hallita tunteita?;When is it good to control your feelings?
Milloin siitä voi olla haittaa?;When can it be harmful?
Voivatko tunteet muuttua?;Can emotions change?
Vaikuttaako tieto tunteisiin?;Does the knowledge affect emotions?
Vaikuttavatko tunteet päätöksentekoon?;Do emotions affect decision -making?
Mitä ovat tunnetaidot?;What are emotional skills?
Onko sinulla tunnetaitoja?;Do you have any emotional skills?
Missä ammateissa tarvitaan tunnetaitoja?;In what professions do you need emotional skills?
Voiko tunnetaitoja oppia tai opettaa?;Can emotional skills learn or teach?
Miten?;How?
Vaikeampi tehtävä;More difficult task
Minä rakastan...;I love ...
Minä vihaan...;I hate ...
Minuojännittää...;Miniature excitement ...
Minua ilahduttaa...;I'm happy to ...
Minä olen kiinnostunut...;I am interested in ...
Minua masentaa...;I am depressed ...
Tykkään...;I like ...
Minua hävettää...;I'm ashamed ...
Pelkään...;I'm afraid ...
Inhoan...;I hate ...
Minua ärsyttää...;I'm annoyed ...
Pidän...;I like ...
Minua kaduttaa...;I'm regretted ...
Minua surettaa...;I'm mourning ...
Minä nautin...;I enjoy ...
Olen ylpeä...;I'm proud ...
Minua ujostuttaa...;I'm shy ...
Minua stressaa...;I'm stressful ...
Minua hermostuttaa...;I'm nervous ...
Olen kateellinen...;I'm jealous ...
Minua kauhistuttaa...;I'm terrified of ...
Minua virkistää...;Me to refresh ...
Minua piristää...;I'm cheering ...
Minä ikävöin...;I miss ...
Minua hämmästyttää...;I'm amazed at ...
Olen huolestunut...;I'm worried ...
Minua ahdistaa...;I am distressed ...
Olen yllättynyt...;I'm surprised ...
